Chicago, IL USA;United States;Illinois;Chicago
Iowa, United States;United States;Iowa; 
CA United States;United States;California; 
Singapore;Singapore; ; 
Fresno, CA USA;United States;California;Fresno
Newport, South Wales, UK;United Kingdom;Wales;Newport
Lakeland, Florida USA;United States;Florida;Lakeland
Los Angeles, NYC, USA;United States;California;Los Angeles
North Canterbury New Zealand;New Zealand;Canterbury; 
Manaus, Amazonas, Brazil;Brazil;Amazonas;Manaus
Plymouth, MI USA;United States;Michigan;Plymouth
Miami, FL United States;United States;Florida;Miami
Newark, NJ;United States;New Jersey;Newark
New York City/Queens;United States;New York;New York
Loudonville NY;United States;New York;Loudonville
OHIO, United States;United States;Ohio; 
Lafayette, Louisiana USA;United States;Louisiana;Lafayette
OFallon, MO United States;United States;Missouri;O'Fallon
New Gloucester, ME United States;United States;Maine;New Gloucester
Philadelphia, PA United States;United States;Pennsylvania;Philadelphia
Cleveland,, Texas United States;United States;Texas;Cleveland
Bosque Farms, NM USA;United States;New Mexico;Bosque Farms
Chandler, AZ USA;United States;Arizona;Chandler
Columbus OH;United States;Ohio;Columbus
Folsom, CA;United States;California;Folsom
bothell,wa;United States;Washington;Bothell
Seattle;United States;Washington;Seattle
New York USA;United States;New York;New York
Baltimore;United States;Maryland;Baltimore
Mexico City, Mexico;Mexico;Federal District;Mexico City
Harrisburg, PA  USA;United States;Pennsylvania;Harrisburg
Mexico City, DF Mexico;Mexico;Federal District;Mexico City
Jerusalem, Israel;Israel;Jerusalem District;Jerusalem
Lenin's Summer Dacha, Santa Monica, CA;United States;California;Santa Monica
Sao Paulo, Brazil;Brazil;Sao Paulo;Sao Paulo
Tampa, FL USA;United States;Florida;Tampa
retired as of Dec. 2014 in San Angelo, Texas USA;United States;Texas;San Angelo
Usa;United States; ; 
Barnesville, PA United States;United States;Pennsylvania;Barnesville
ORLANDO, FLORIDA United States;United States;Florida;Orlando
ABILENE, TEXAS United States;United States;Texas;Abilene
Loda, Il USA;United States;Illinois;Loda
Seattle, WA USA;United States;Washington;Seattle
Ohio;United States;Ohio; 
Pittsburgh, PA USA;United States;Pennsylvania;Pittsburgh
Macungie, PA USA;United States;Pennsylvania;Macungie
Pittsburgh, PA;United States;Pennsylvania;Pittsburgh
Chicago;United States;Illinois;Chicago
Peekskill , NY USA;United States;New York;Peekskill
Remote Medic in Alaska;United States;Alaska; 
San Bernardino;United States;California;San Bernardino
Lutherville, MD USA;United States;Maryland;Lutherville-Timonium
Silverton, OR USA;United States;Oregon;Silverton
Lakeside Park, KY USA;United States;Kentucky;Lakeside Park
Orlando, Florida USA;United States;Florida;Orlando
Little Rock, AR;United States;Arkansas;Little Rock
Seattle, WA;United States;Washington;Seattle
Fall River, MA United States;United States;Massachusetts;Fall River
Salem, OR USA;United States;Oregon;Salem
Rancho Santa Margarita, ca, United States;United States;California;Rancho Santa Margarita
Louisville, KY United States;United States;Kentucky;Louisville
Austin, Texas;United States;Texas;Austin
California, United States;United States;California; 
Florida, USA;United States;Florida; 
Memphis, TN USA;United States;Tennessee;Memphis
kentucky;United States;Kentucky; 
STOCKHOLM Sweden;Sweden;Stockholm County;Stockholm
Oakton, VA United States;United States;Virginia;Oakton
Montreal, Quebec, Canada;Canada;Quebec;Montreal
Lake Woebegone,Minnesota;United States;Minnesota; 
High Point, NC USA;United States;North Carolina;High Point
Belle Meade, NJ;United States;New Jersey;Montgomery
Duluth, GA United States;United States;Georgia;Duluth
Redlands, California United States;United States;California;Redlands
Atlanta, GA;United States;Georgia;Atlanta
Huntsville, AL USA;United States;Alabama;Huntsville
San Diego, CA USA;United States;California;San Diego
Atlanta, Ga;United States;Georgia;Atlanta
Abilene, Texas;United States;Texas;Abilene
New Haven, CT;United States;Connecticut;New Haven
Bayonne, NJ;United States;New Jersey;Bayonne
Gainesville, GA United States;United States;Georgia;Gainesville
Fairfax, VA United States;United States;Virginia;Fairfax
State of Iowa, USA;United States;Iowa; 
Long Island, NY;United States;New York; 
Greenwich Village, NYC;United States;New York;New York
texas;United States;Texas; 
Winter Haven, Florida United States;United States;Florida;Winter Haven
Central Gulf Coast;United States;Florida;Pensacola
Buffalo, N.Y.;United States;New York;Buffalo
Milwaukee ,WI USA;United States;Wisconsin;Milwaukee
Mountain View, CA USA;United States;California;Mountain View
Hyderabad;India;Telangana;Hyderabad
North Carolina;United States;North Carolina; 
Owings Mills, MD USA;United States;Maryland;Owings Mills
Huntington Beach, CA United States;United States;California;Huntington Beach
Charleston, WV United States;United States;West Virginia;Charleston
Toronto, Ontario, Canada;Canada;Ontario;Toronto
student in Earth;India;Maharashtra;Mumbai
Olney, MD USA;United States;Maryland;Olney
New Jersey;United States;New Jersey; 
Woodland, CA United States;United States;California;Woodland
Springfield, VA United States;United States;Virginia;Springfield
Groton, CT;United States;Connecticut;Groton
Tallahassee;United States;Florida;Tallahassee
florida;United States;Florida; 
Baltimore, Maryland, USA;United States;Maryland;Baltimore
England;United Kingdom;England; 
The West;Cameroon;West; 
New England;Cameroon;West; 
US, UK;United States;Florida;Orlando
Lostin, OH;United States;Ohio;Chagrin Falls
Massachusetts, USA;United States;Massachusetts; 
West Chester, PA USA;United States;Pennsylvania;West Chester
Tampa, Florida USA;United States;Florida;Tampa
Lake Oswego, OR United States;United States;Oregon;Lake Oswego
Santa Fe, NM USA;United States;New Mexico;Santa Fe
Switzerland;Switzerland; ; 
Cotuit, Cape Cod, MA USA;United States;Massachusetts;Barnstable
St. Paul, MN;United States;Minnesota;Saint Paul
Evans, CO USA;United States;Colorado;Evans
Lakewood, OH United States;United States;Ohio;Lakewood
Buffalo, NY United States;United States;New York;Buffalo
Shelby, North Carolina USA;United States;North Carolina;Shelby
Granada, Nicaragua;Nicaragua;Granada;Granada
Lawrence, KS;United States;Kansas;Lawrence
New Jersey USA;United States;New Jersey; 
Southern California United States;United States;California; 
Okemos, MI USA;United States;Michigan;Meridian charter Township
Frederick, MD USA;United States;Maryland;Frederick
south;United States;Vermont;South Burlington
Grapevine, TX USA;United States;Texas;Grapevine
Beverly Hills, CA United States;United States;California;Beverly Hills
La Palma, CA, USA;United States;California;La Palma
Miami;United States;Florida;Miami
Temecula, CA United States;United States;California;Temecula
Melbourne, Australia;Australia;Victoria;Melbourne
ex-RAAF the High School english and history teacher in Coffs Harbour, NSW Australia;Australia;New South Wales;Coffs Harbour
Utrecht, Netherlands;Netherlands;Utrecht;Utrecht
Atlanta, Georgia;United States;Georgia;Atlanta
Awatovi, AZ;United States;Arizona; 
CHICAGO, IL USA;United States;Illinois;Chicago
Norway;Norway; ; 
Seattle, WA United States;United States;Washington;Seattle
Chicago, IL United States;United States;Illinois;Chicago
Wokingham, United Kingdom;United Kingdom;England;Wokingham
Long Beach, CA;United States;California;Long Beach
Raanana Israel;Israel;Center District;Ra'anana
Coventry, CT USA;United States;Connecticut;Coventry
Redmond, Washington United States;United States;Washington;Redmond
Maryland;United States;Maryland; 
Balmette Talloires, France;France;Rhone-Alpes;Talloires
San Antonio, TX USA;United States;Texas;San Antonio
Pasadena, TX  USA;United States;Texas;Pasadena
Neutral Bay, NSW Australia;Australia;New South Wales;Neutral Bay
Cambridge. MA USA;United States;Massachusetts;Cambridge
MA;United States;Massachusetts; 
San Jose, CA;United States;California;San Jose
Palo Alto, CA USA;United States;California;Palo Alto
Osaka, Japan;Japan;Osaka Prefecture;Osaka
Sao Paulo, Brazil;Brazil;Sao Paulo;Sao Paulo
PA USA;United States;Pennsylvania; 
Atlanta;United States;Georgia;Atlanta
Portland, OR;United States;Oregon;Portland
Binghamton, NY;United States;New York;Binghamton
Omaha, NE USA;United States;Nebraska;Omaha
Milwaukee, Wisconsin;United States;Wisconsin;Milwaukee
Rossville, Kansas United States;United States;Kansas;Rossville
GA;United States;Georgia; 
Brooklyn, NY, USA;United States;New York;New York
Upstate New York;United States;New York;Syracuse
Exeter, New Hampshire USA;United States;New Hampshire;Exeter
The California Redwoods;United States;California; 
Newcastle-on-Tyne, UK;United Kingdom;England;Newcastle upon Tyne
Columbus, Ohio United States;United States;Ohio;Columbus
Rhode Island;United States;Rhode Island; 
North Olmsted, Ohio;United States;Ohio;North Olmsted
Bloomfield, NJ;United States;New Jersey;Bloomfield
Long Island NY, United States;United States;New York; 
carlsbad, nm United States;United States;New Mexico;Carlsbad
bristow, oklahoma United States;United States;Oklahoma;Bristow
California Sierra;United States;California; 
Houston Texas USA;United States;Texas;Houston
Rochester, NY USA;United States;New York;Rochester
Bullhead City, AZ United States;United States;Arizona;Bullhead City
Saint Louis, Missouri United States;United States;Missouri;Saint Louis
Melbourne, Victoria Australia;Australia;Victoria;Melbourne
Albuquerque, NM United States;United States;New Mexico;Albuquerque
Riverside, CA;United States;California;Riverside
Western Maryland;Sri Lanka;Western Province;Maryland
Architect in Vilnius, Lithuania;Lithuania;Vilnius County;Vilnius
Orlando, Fl United States;United States;Florida;Orlando
Kellogg, ID;United States;Idaho;Kellogg
Des  Plaines, IL United States;United States;Illinois;Des Plaines
Somerville, MA, United States;United States;Massachusetts;Somerville
Waltham, MA USA;United States;Massachusetts;Waltham
Utah, USA;United States;Utah; 
Lake Arrowhead, CA, USA;United States;California;Lake Arrowhead
Palookaville;United States;Montana;Browning
Rochester, New York;United States;New York;Rochester
NY;United States;New York;New York
Junction City, KS;United States;Kansas;Junction City
Gold Coast, QLD Australia;Australia;Queensland;Gold Coast
Overseas;United Kingdom; ;Manchester
Cass Lake, MN, United States;United States;Minnesota;Cass Lake
Jackson, MS USA;United States;Mississippi;Jackson
Middletown, NJ USA;United States;New Jersey;Middletown
Colorado Springs, CO United States;United States;Colorado;Colorado Springs
New York, NY USA;United States;New York;New York
Burbank, CA United States;United States;California;Burbank
VA USA;United States;Virginia; 
Oakdale, PA United States;United States;Pennsylvania;Oakdale
Nevada, MO;United States;Missouri;Nevada
Nashville, TN United States;United States;Tennessee;Nashville
Cocoa, Fl USA;United States;Florida;Cocoa
Glendale, AZ United States;United States;Arizona;Glendale
Twin Falls, Idaho;United States;Idaho;Twin Falls
San Francisco, CA, USA;United States;California;San Francisco
Shamokin, PA;United States;Pennsylvania;Shamokin
Kenner, LA USA;United States;Louisiana;Kenner
Dreamer/Writer/Reviewer in Michigan;United States;Michigan; 
Glendale, CA United States;United States;California;Glendale
Wellesley, MA United States;United States;Massachusetts;Wellesley
New York, New York United States;United States;New York;New York
fountain valley, ca USA;United States;California;Fountain Valley
Wesley Chapel, FL;United States;Florida;Wesley Chapel
Pasadena, CA USA;United States;California;Pasadena
Mount Laurel, New Jersey United States;United States;New Jersey;Mount Laurel
Bloomington, MN;United States;Minnesota;Bloomington
Rockville Centre, N.Y.;United States;New York;Rockville Centre
Great Neck, NY USA;United States;New York;Great Neck
Sturbridge, MA United States;United States;Massachusetts;Sturbridge
Philadelphia, PA, USA;United States;Pennsylvania;Philadelphia
Franklin, Tn;United States;Tennessee;Franklin
Washington DC;United States;District of Columbia;Washington
Edmonton, Alberta;Canada;Alberta;Edmonton
Portland, Oregon United States;United States;Oregon;Portland
Organization Development Consultant in New York, NY USA;United States;New York;New York
Oklahoma USA;United States;Oklahoma;Oklahoma City
Maine, USA;United States;Maine; 
Western IL USA;United States;Illinois; 
Whidbey Island, WA;United States;Washington; 
Greendale, USA;United States;Wisconsin;Greendale
Seattle, Washington;United States;Washington;Seattle
NJ, USA;United States;New Jersey; 
Facilitator/Mediator/Negotiator in Caldwell, N.J. United States;United States;New Jersey;Caldwell
Hoover, Alabama USA;United States;Alabama;Hoover
New York, NY United States;United States;New York;New York
Corfu, Greece;Greece;Peloponnisos Dytiki Ellada ke Ionio;Corfu
Maryland, USA;United States;Maryland; 
Stafford, TX United States;United States;Texas;Stafford
Old Bridge, New jersey United States;United States;New Jersey;Old Bridge Township
Homewood, Alabama, USA;United States;Alabama;Homewood
Birmingham, Alabama, USA;United States;Alabama;Birmingham
the Lehigh Valley, PA;United States;Pennsylvania; 
Naples, FL;United States;Florida;Naples
New York State;United States;New York; 
New Orelans;United States;Louisiana;New Orleans
san antonio, texas United States;United States;Texas;San Antonio
Lake Jackson, Texas;United States;Texas;Lake Jackson
Glen Ridge, NJ USA;United States;New Jersey;Glen Ridge
Canton, GA United States;United States;Georgia;Canton
Orleans, Ontario, Canada;Canada;Ontario;Ottawa
Weston, FL United States;United States;Florida;Weston
Louisville, CO USA;United States;Colorado;Louisville
Freelance Writer in Darien, CT United States;United States;Connecticut;Darien
BRONX, NEW YORK USA;United States;New York; 
NYC;United States;New York;New York
Los Angeles, CA;United States;California;Los Angeles
Washington, DC United States;United States;District of Columbia;Washington
Ann Arbor, Michigan United States;United States;Michigan;Ann Arbor
White Hall, Md USA;United States;Maryland;White Hall
Nowhere;United States;Rhode Island;Scituate
Walnut, CA United States;United States;California;Walnut
Los Angeles, CA USA;United States;California;Los Angeles
Toledo, Ohio;United States;Ohio;Toledo
Van Nuys, CA United States;United States;California;Los Angeles
trenton, michigan USA;United States;Michigan;Trenton
Columbiaville, MI United States;United States;Michigan;Columbiaville
Eagle, ID;United States;Idaho;Eagle
NY, United States;United States;New York;New York
Albany, New York USA;United States;New York;Albany
Roswell, GA USA;United States;Georgia;Roswell
Haverhill, MA United States;United States;Massachusetts;Haverhill
Richland, WA USA;United States;Washington;Richland
Silicon Valley, CA;United States;California; 
Oklahoma City, OK USA;United States;Oklahoma;Oklahoma City
Oklahoma City, OK, USA;United States;Oklahoma;Oklahoma City
Fort Worth, TX USA;United States;Texas;Fort Worth
South Dakota;United States;South Dakota; 
Pflugerville, TX USA;United States;Texas;Pflugerville
Tucson, Az United States;United States;Arizona;Tucson
San Jose, CA United States;United States;California;San Jose
San Mateo, Ca United States;United States;California;San Mateo
Carson City;United States;Nevada;Carson City
Boston MA;United States;Massachusetts;Boston
Bay Area, CA USA;United States;California; 
Oregon;United States;Oregon; 
Santa Monica, CA United States;United States;California;Santa Monica
Santa Monica, CA USA;United States;California;Santa Monica
the internet;Laos;Champasak;Pakse
Lakeland, FL United States;United States;Florida;Lakeland
WWW.FILMREVIEWSTEW.COM, Pacific Grove, California United States;United States;California;Pacific Grove
Washington, D.C.;United States;District of Columbia;Washington
New York City;United States;New York;New York
Gadabout;United States;Florida;Zephyrhills
Chapel Hill, Tennessee USA;United States;Tennessee;Chapel Hill
Fresno, CA United States;United States;California;Fresno
Longmeadow, MA USA;United States;Massachusetts;Longmeadow
The Eastern States;United States;New Jersey;Somerville
Lafayette, IN USA;United States;Indiana;Lafayette
WV;United States;West Virginia; 
Los Gatos, CA United States;United States;California;Los Gatos
Spokane, WA United States;United States;Washington;Spokane
Crofton, MD United States;United States;Maryland;Crofton
Salt Lake City;United States;Utah;Salt Lake City
Springfield Virginia;United States;Virginia;Springfield
Portland, OR USA;United States;Oregon;Portland
Philadelphia, PA USA;United States;Pennsylvania;Philadelphia
Plantation, Florida;United States;Florida;Plantation
Anglican Priest/ Pastor in Elizabeth City NC;United States;North Carolina;Elizabeth City
Brooklyn,, NY;United States;New York;New York
Moscow, Russia;Russia;Moscow;Moscow
Retired social scientist. in USA;United States; ; 
Ooltewah, TN USA;United States;Tennessee;Ooltewah
Pacifica, CA United States;United States;California;Pacifica
Snellville, Ga United States;United States;Georgia;Snellville
Denver, CO United States;United States;Colorado;Denver
Union City, NJ;United States;New Jersey;Union
Winston-Salem, NC USA;United States;North Carolina;Winston-Salem
Rochester, MI USA;United States;Michigan;Rochester
Miami, Fl;United States;Florida;Miami
Kentucky;United States;Kentucky; 
Tampa, Florida United States;United States;Florida;Tampa
Austin, TX USA;United States;Texas;Austin
Fairview, TN United States;United States;Tennessee;Fairview
White Oak, Texas USA;United States;Texas;White Oak
Tokyo, Japan;Japan;Texas;Tokyo
Monument, CO USA;United States;Colorado;Monument
Stillwater, MN United States;United States;Minnesota;Stillwater
Boulder, CO United States;United States;Colorado;Boulder
Phoenix, AZ USA;United States;Arizona;Phoenix
New York, United States;United States;New York;New York
greensboro, nc;United States;North Carolina;Greensboro
Tustin, CA USA;United States;California;Tustin
bergen county, nj;United States;New Jersey; 
Detroit;United States;Michigan;Detroit
Illinois United States;United States;Illinois; 
MI;United States;Michigan;Detroit
Ashburn, VA;United States;Virginia;Ashburn
Schenectady, NY USA;United States;New York;Schenectady
San Anselmo, California USA;United States;California;San Anselmo
Michigan United States;United States;Michigan; 
Emerald City;Australia;Queensland;Emerald
Thorofare, NJ United States;United States;New Jersey;West Deptford
Jefferson City, MO;United States;Missouri;Jefferson City
Schenectady, NY United States;United States;New York;Schenectady
Newtown, PA United States;United States;Pennsylvania;Newtown
Moodus, CT United States;United States;Connecticut;East Haddam
Saint Louis;United States;Missouri;Saint Louis
Somerset, KY United States;United States;Kentucky;Somerset
houston, tx USA;United States;Texas;Houston
Wauwatosa, WI USA;United States;Wisconsin;Wauwatosa
Georgia,  USA;United States;Georgia; 
Tampa, FL United States;United States;Florida;Tampa
Aurora, IL;United States;Illinois;Aurora
ATLANTA, GA;United States;Georgia;Atlanta
Charlotte, NC United States;United States;North Carolina;Charlotte
Topsham, Maine United States;United States;Maine;Topsham
bahsten, MA;United States;Massachusetts;Boston
Asuncion Paraguay;Paraguay;Massachusetts;Asuncion
Arlington, VA USA;United States;Virginia;Arlington
Visalia, California United States;United States;California;Visalia
Vero Beach, Florida;United States;Florida;Vero Beach
Jessup, PA United States;United States;Pennsylvania;Jessup
Lumberton, NC;United States;North Carolina;Lumberton
Midwest;United States;Wyoming;Midwest
Rocky River, Ohio United States;United States;Ohio;Rocky River
On the Lake Erie Shoreline, PA;United States;Pennsylvania; 
Providence, RI United States;United States;Rhode Island;Providence
Connecticut;United States;Connecticut; 
Tucker, Georgia USA;United States;Georgia;Tucker
North Springfield, VT USA;United States;Vermont;North Springfield
Ingalls, IN United States;United States;Indiana;Ingalls
Port Townsend, WA;United States;Washington;Port Townsend
2476 Warm Spring Way, Odenton, Maryland United States;United States;Maryland;Odenton
CEDAR FALLS, IOWA United States;United States;Iowa;Cedar Falls
new york, ny;United States;New York;New York
Kansas City;United States;Missouri;Kansas City
NY, USA;United States;New York;New York
Indio, CA United States;United States;California;Indio
pennsylvania;United States;Pennsylvania; 
Vienna, VA United States;United States;Virginia;Vienna
Wassenaar, The Netherlands;Netherlands;Zuid-Holland;Wassenaar
Marrakesh,  Morocco;Morocco;Marrakesh-Tensift-El Haouz;Marrakesh
South Dakota, United States;United States;South Dakota; 
Galveston, TX United States;United States;Texas;Galveston
Harrisburg, PA United States;United States;Pennsylvania;Harrisburg
Gilroy, California USA;United States;California;Gilroy
Hopkins, MI United States;United States;Michigan;Hopkins
Cupertino, CA United States;United States;California;Cupertino
Ypsilanti, MI United States;United States;Michigan;Ypsilanti
Abilene, TX;United States;Texas;Abilene
Oklahoma;United States;Oklahoma;Oklahoma City
St. Louis, Mo USA;United States;Missouri;Saint Louis
Minneapolis, MN;United States;Minnesota;Minneapolis
Boston,MA;United States;Massachusetts;Boston
Bloomfield, NJ United States;United States;New Jersey;Bloomfield
Makati Philippines;Philippines;Metro Manila;Makati
Toronto;Canada;Ontario;Toronto
Mpls, MN United States;United States;Minnesota;Minneapolis
Tucson;United States;Arizona;Tucson
SALT LAKE CITY, UTAH USA;United States;Utah;Salt Lake City
NY/SF/SLC;United States; ; 
Philippines;Philippines; ; 
NOVA, United States;United States;Ohio;Nova
New Orleans La.;United States;Louisiana;New Orleans
Seattle, WA  USA;United States;Washington;Seattle
East Coast, USA;United States;California;Newport Beach
Holbrook, MA USA;United States;Massachusetts;Holbrook
Ypsilanti, MI USA;United States;Michigan;Ypsilanti
Kaohsiung, Taiwan;Taiwan;Kaohsiung City; 
Alpharetta, GA USA;United States;Georgia;Alpharetta
Kentucky, USA;United States;Kentucky; 
Stratham, NH United States;United States;New Hampshire;Stratham
New York;United States;New York;New York
Northern California;United States;California; 
Paonia, CO United States;United States;Colorado;Paonia
WI;United States;Wisconsin; 
Pittsburgh, PA United States;United States;Pennsylvania;Pittsburgh
Scituate, MA United States;United States;Massachusetts;Scituate
syosset, NY United States;United States;New York;Syosset
SC;United States;South Carolina; 
Sacramento;United States;California;Sacramento
Washington, DC USA;United States;District of Columbia;Washington
Warren, MI USA;United States;Michigan;Warren
McLean, VA USA;United States;Virginia;McLean
Eldorado, IL USA;United States;Illinois;Eldorado
Washington, USA;United States;District of Columbia;Washington
New Jersey, USA;United States;New Jersey; 
Sydney, Australia;Australia;New South Wales;Sydney
Menlo Park, CA United States;United States;California;Menlo Park
Cordova, Alaska;United States;Alaska;Cordova
Denmark;Denmark; ; 
Marion, Iowa United States;United States;Iowa;Marion
Area 51-A;United States;Nevada;Lincoln County
San Francisco, CA USA;United States;California;San Francisco
WA, USA;United States;Washington; 
St. Louis, Missouri United States;United States;Missouri;Saint Louis
Ontario Canada;Canada;Ontario; 
a Mensa-donkey in Phoenix, Airheadzona.;United States;Arizona;Phoenix
Florida USA;United States;Florida; 
Newfoundland;Canada;Newfoundland and Labrador; 
nyc;United States;New York;New York
Daly City, CA United States;United States;California;Daly City
Slidell, LA United States;United States;Louisiana;Slidell
Forsyth, Georgia USA;United States;Georgia;Forsyth
LYNDHURST, NJ United States 07071;United States;New Jersey;Lyndhurst
London, England;United Kingdom;England;London
MA. USA;United States;Massachusetts; 
New Zealand;New Zealand; ; 
St. George, Utah, USA;United States;Utah;Saint George
Virginia;United States;Virginia; 
Az United States;United States;Arizona; 
Alexandria, VA USA;United States;Virginia;Alexandria
Boston, MA, USA;United States;Massachusetts;Boston
Oslo, Norway;Norway;Oslo;Oslo
College English Instructor in Torrance, CA USA;United States;California;Torrance
grosse point;United States;Michigan;Grosse Pointe
QLD Australia;Australia;Queensland; 
Fort Worth, Tx United States;United States;Texas;Fort Worth
PA, USA;United States;Pennsylvania; 
HK;Hong Kong;Pennsylvania;Fort Worth
Northwest, USA;United States;Florida;Jacksonville
North Fork, CA USA;United States;California;North Fork
Seattle, Washington United States;United States;Washington;Seattle
The World of Amazon;United Kingdom; ;Newchurch
Hartford, CT USA;United States;Connecticut;Hartford
Wet, Wild, Wonderful Virginia;United States;Virginia; 
Dallas, TX;United States;Texas;Dallas
Clayton, CA United States;United States;California;Clayton
